Attributes,HeLa.S3.WT.00_h.R1,HeLa.S3.WT.00_h.R2,HeLa.S3.WT.00_h.R3,HeLa.S3.WT.02_h.R1,HeLa.S3.WT.02_h.R2,HeLa.S3.WT.02_h.R3,HeLa.S3.WT.04_h.R1,HeLa.S3.WT.04_h.R2,HeLa.S3.WT.04_h.R3,HeLa.S3.WT.08_h.R1,HeLa.S3.WT.08_h.R2,HeLa.S3.WT.08_h.R3,HeLa.S3.WT.16_h.R1,HeLa.S3.WT.16_h.R2,HeLa.S3.WT.16_h.R3,HeLa.S3.WT.24_h.R1,HeLa.S3.WT.24_h.R2,HeLa.S3.WT.24_h.R3
E1WDL9,20.5,20.5,29,0,0.5,0,2,6,2,1,5,3,10.5,8,13,66,61,69.5
E1WDM0,13,22,27.5,1,1.5,1,4,1.5,1,2,6.5,1,5.5,11.5,7,24.5,29,29.5
E1WDM1,53,60.5,76,2,1.5,0.5,3,8,4,9,17,8.5,18,26,19,90,87.5,106
E1WDM2,51,72,51.5,18,30.5,38,40,52.5,70,46,96,101.5,171,212,201,227.5,213,296
E1WDM3,4.5,9.5,7,0,0,0,0.5,2,0,0.5,0.5,0,3,6.5,16.5,123.5,152.5,177.5
E1WDM4,4.5,3.5,3,0,1,2,0.5,1.5,2.5,1.5,4,5,12.5,13,18,116,124.5,187
E1WDM5,12.5,15,7.5,2.5,5,2,5.5,6,3.5,4,4.5,6,8.5,9,15.5,29,45.5,59.5
E1WDM6,0,4,5,0.5,0.5,0,0,1,0.5,2,1.5,1,3,2,5.5,29.5,30.5,26
E1WDM7,5.5,2,6.5,1,1.5,0,4.5,5.5,2.5,6,10,1.5,5.5,10.5,7,36,42,52.5
E1WDM8,10.5,9,10,2,4.5,5,6,7.5,5,4.5,13.5,12,21,18.5,15.5,47.5,46.5,67
E1WDM9,7,6,5.5,4,3.5,9.5,7.5,11,4.5,13,24,14,24.5,44,18,33.5,42,51
E1WDN0,6,5.5,4,3,5,6,7,8,3,8.5,21.5,8,18,35,12.5,24.5,21.5,31
E1WDN1,9,9.5,4,4.5,5,1.5,9.5,17,5.5,10.5,14.5,15,24.5,37,18.5,20,19,34
E1WDN2,3.5,9,4.5,1,1,0.5,2,1.5,1,0.5,6,3.5,7,7.5,8.5,41,58.5,55
E1WDN3,3.5,9.5,5.5,4.5,4,0,13,13,1.5,2.5,2.5,4.5,16,17.5,15,51,71,98.5
E1WDN4,19,32,20,7,12.5,2,41,59.5,8.5,4.5,7.5,7,45.5,46.5,25,100,130,176.5
E1WDN5,8,8.5,11.5,0.5,1.5,0.5,3.5,6,3,4.5,12,7,13,13,12.5,41,35,42.5
E1WDN6,7.5,12,13,2,1,1,1.5,3.5,4,2.5,4.5,1.5,4,10,8.5,51,59.5,60
E1WDN7,0.5,0,0,0,0.5,1,0,0,0,0.5,0,0,2,0.5,0.5,4,3.5,9.5
E1WDP0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,1,2.5,1
E1WDP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
E1WDP2,0.5,0,0,0,0,0,0,0,0,0,0.5,1,1,0,1,3,2.5,3.5
E1WDP4,0,0,0,0,1,0,0,0,0,0,0.5,0,1,0,0.5,3,0.5,3
E1WDP5,4,0.5,0.5,0,0.5,0,1,0,0.5,0.5,0,1,2,1,6.5,21.5,39.5,36
E1WDP6,2.5,0,0.5,0,0,0,2,0,0,0,0,0,0.5,1,3,11.5,17,19
E1WDP7,2,4.5,2.5,0,0,0,1,0,0,0.5,1.5,0.5,6.5,7,6.5,46.5,56.5,68.5
E1WDP8,0.5,2,1,0,0.5,0,1,4,0.5,1,5.5,0,1,2.5,3,24,24,25.5
E1WDP9,3,5,3,0,1,0.5,1,7.5,0.5,2.5,3,6.5,5.5,10,7,35,37.5,61
E1WDQ0,7.5,10,3.5,0,1,0.5,1,4.5,0.5,0.5,2.5,3.5,8.5,9.5,8,48,43,75.5
E1WDQ1,13.5,11,8,1.5,1,0,2,3,1.5,1,3.5,1.5,8.5,13,17.5,93.5,96,96.5
E1WDQ2,9.5,7,24,0,0.5,0,0,4,6,1,5,3.5,5.5,11.5,19,35.5,44.5,183.5
E1WDQ3,1.5,4,7,0,0.5,2.5,1.5,4.5,5,1,4,1.5,10.5,11.5,7,26,22.5,35
E1WDQ4,2,0,0,0,1.5,0,1,0,0,0.5,0.5,0,2,2,2,11.5,11,10.5
E1WDQ5,2,2,2,0.5,1.5,1,2.5,1.5,2.5,3,1.5,2.5,5,7.5,6.5,30.5,28.5,39
E1WDQ6,4,7.5,4.5,1,1.5,0.5,3.5,0.5,4,3.5,6,4.5,7.5,11.5,9.5,51,49.5,73
E1WDQ7,33.5,32,34,4,5.5,4,12,10.5,4.5,6,14,9,18,25,21.5,51.5,64.5,87
E1WDQ8,1,2,4.5,0.5,0,0,0,0,0.5,0,1.5,1,2.5,2.5,1.5,20.5,32,17
E1WDQ9,1,0.5,5.5,0,0,0,0,0.5,0.5,0,1.5,0,3,1.5,3.5,30.5,47.5,56.5
E1WDR0,10,8.5,8.5,0,0,0,2,2.5,2,1.5,2,1.5,8.5,8.5,11,26.5,40,63
E1WDR1,246,341,258.5,20.5,34.5,8,33,68.5,28,41,106,61,178.5,269,168,869.5,891.5,933.5
E1WDR2,46,65.5,51,1,3.5,0.5,5,12.5,2,4,12.5,6,20.5,20,30.5,60,77.5,112.5
E1WDR3,99.5,123,113.5,8.5,9.5,8.5,17,28,6.5,14,35.5,108.5,41.5,54.5,48.5,163.5,167.5,173.5
E1WDR4,90,131.5,105,6.5,10.5,0.5,25,33,7.5,12,36,27.5,51,71.5,86,312.5,338,436.5
E1WDR5,255.5,295.5,184.5,13,15.5,5,25,38.5,14,25,40.5,24.5,138.5,142.5,124,674,758,915
E1WDR6,89,129,152,3,5,0,8.5,15.5,1.5,6,9,6.5,27.5,55.5,25.5,140,145,272
E1WDR7,21,41,43,0.5,1.5,1,4,4.5,1,5.5,7,1,12.5,22.5,11,70.5,85,132
E1WDR8,99,143.5,164,10,10.5,1.5,17.5,19.5,8,30,50.5,18.5,85.5,103.5,72,358,395,525.5
E1WDR9,15.5,14,9,6.5,21,0,2.5,1,2,7.5,13.5,3.5,10,18.5,6.5,56.5,86.5,88
E1WDS1,33,47,23.5,3,3.5,2,4.5,5,1.5,3,0.5,3.5,4.5,6,10,35,35.5,65
E1WDS2,24.5,38.5,13,1,1,0,0.5,4,1,1.5,5,1,5.5,4.5,3.5,17,27,29
E1WDS3,10,14,5.5,1.5,2,1,5,1.5,1,2,3.5,2.5,2.5,6,5.5,41.5,37,51
E1WDS4,7,14,7.5,1.5,0.5,2,2.5,5.5,2,1.5,6,2,7.5,15,10,47,45.5,56
E1WDS5,8,10,19,0,0.5,0,1.5,1.5,2,0,3,3.5,4,3.5,3.5,15,18.5,31
E1WDS6,14.5,21,29,0,0,0,4.5,5,4,1,2.5,8,6,9,8,31,29,34.5
E1WDS7,38.5,58,52,3,5.5,1.5,5.5,10.5,4.5,6,8.5,6,15.5,32,20.5,88,120.5,130
E1WDS8,13.5,25,21.5,0,4,0,2.5,2,2.5,0.5,5.5,5.5,12.5,11,8.5,45.5,43.5,76
E1WDS9,6,11.5,9.5,19,26,7.5,24,47.5,6,23.5,52.5,13.5,28,29,16,61,55.5,83.5
E1WDT0,7.5,9.5,9.5,25.5,31,8.5,24,51,9.5,22.5,50.5,20.5,29,31,15.5,55.5,60,65.5
E1WDT1,1.5,4,4,9.5,17,13,9.5,18.5,9.5,8.5,29.5,12,13.5,22.5,8.5,24,19,29
E1WDT2,3.5,9,4.5,11.5,13.5,12,18,29.5,15,17.5,28,18.5,25.5,25,11.5,42.5,37.5,56.5
E1WDT3,9.5,24,6.5,40.5,46,27.5,36,54.5,36,33.5,76,30.5,54.5,68,27.5,180,204,146.5
E1WDT4,13,9.5,11,0.5,0.5,0.5,2,3.5,2,1,1,2.5,5,4,6,32,29.5,53
E1WDT5,1.5,2.5,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,2,8.5,6,11.5
E1WDT6,4,4.5,6,1,1,3,0.5,2,3,0.5,0.5,2.5,2.5,6,11.5,38,40,45.5
E1WDT7,143.5,215,208.5,8.5,15,5.5,9.5,25,8.5,21,35,18,63.5,77,71.5,303,350,410.5
E1WDT8,132.5,173,147.5,6,6,1,8,16,3,8,17.5,13,30.5,45,34,267,281.5,302.5
E1WDT9,5.5,11.5,5,0,2,0,2.5,4,0.5,1.5,0.5,0.5,2,4.5,5,23.5,16,26
E1WDU0,64.5,121,78.5,19.5,30.5,8,27.5,74,33.5,72.5,146.5,60,122,181,137,383,460,688.5
E1WDU1,153.5,235.5,273,42.5,67.5,17,77.5,160.5,46.5,141.5,237.5,86.5,224.5,270,145.5,208,242.5,277.5
E1WDU2,102,158,170.5,42,44,19.5,78,132,37,80,177.5,84.5,150.5,173.5,106,162,166.5,215
E1WDU3,230.5,291.5,300.5,65,98,32.5,130,224,77,167,381,180,283.5,342.5,195.5,396.5,464,378
E1WDU4,95,114.5,111,37.5,41,10,81.5,116.5,27.5,41,112.5,59.5,114,121.5,81.5,98,113,153.5
E1WDU5,123,155.5,235.5,44,59,16,90,166.5,55,67.5,135.5,103.5,142.5,181.5,109.5,151,166,211.5
E1WDU6,128,164.5,258,42.5,47,39,69.5,118.5,48.5,65,145.5,113.5,152.5,161,86,114,151,173.5
E1WDU7,131.5,204,202.5,30.5,41,22,69,125,40.5,72,145.5,93.5,157.5,184.5,104,246,277.5,329.5
E1WDU8,66.5,89.5,76,14,22,8,18.5,41.5,15,20,34.5,41,47,63.5,41,122,152.5,169
E1WDU9,9.5,19,11,2,1.5,0,3,4,3,3.5,10,5,14.5,18,8,71.5,76,91
E1WDV0,68.5,72,77.5,10,11,3,12.5,20,6,7,24,20,67.5,75,74.5,464.5,500,598
E1WDV1,81.5,85,66.5,6.5,7,7,10,19.5,11,7.5,21,18.5,34,55.5,37.5,224,235.5,280
E1WDV2,7.5,8.5,7.5,0,1,2,3.5,4,1.5,1.5,3.5,0.5,6.5,13.5,14.5,75.5,125,102
E1WDV3,14.5,22,13,5,6,6.5,14.5,19,8.5,9,10.5,12.5,69,76.5,146.5,760,836,1078
E1WDV4,16.5,22.5,25,3.5,1.5,0,12,11,2.5,3.5,15,5,17,21.5,25.5,112,127,150.5
E1WDV5,37.5,54,33,4.5,4,3.5,10,19,4,9.5,26,9,26,41.5,37,122,137.5,175
E1WDV6,29.5,37.5,29,3,8,2,6,19,5.5,6.5,12,12.5,27.5,35,27.5,127,137.5,174
E1WDV7,13,8,8.5,3,2,0.5,3.5,7,4.5,2.5,6,4.5,14.5,20.5,12.5,28.5,24,31
E1WDV8,1,3.5,3,3.5,2,4,6,9.5,1.5,1.5,9.5,8,17.5,17.5,13,43,58,57
E1WDV9,12.5,17.5,8.5,3,5.5,5,9,13,3,3,13.5,4,26.5,26,16,49,60,75.5
E1WDW0,43.5,54.5,29.5,7,13.5,3,11,21.5,6.5,9.5,26,13.5,34,32.5,35.5,71,72,101.5
E1WDW1,8,9.5,9.5,3,3.5,1.5,7,7,5,6,15,6,17,23,15.5,43.5,54.5,63.5
E1WDW2,5.5,9.5,7,1.5,0.5,0,2,2.5,2.5,5.5,18,3,16,11,13,47,64.5,89
E1WDW4,13,15,8.5,0.5,2.5,0,1.5,8,0,0.5,1.5,3.5,4.5,9.5,6.5,26.5,23,42
E1WDW5,48.5,52,32,3,5.5,0.5,9.5,12,3,4,11,16.5,22,34,40.5,95,122.5,164
E1WDW6,24.5,39.5,26,2.5,4,3,5.5,11.5,3.5,7,10,9,26,22.5,19,97.5,94.5,85.5
E1WDW7,9.5,5.5,7.5,0,1.5,0.5,0,3,0.5,1,2,3.5,12.5,10.5,9,48,57,51.5
E1WDW8,667.5,784,1203.5,5.5,4.5,3,11,14,3.5,5,8.5,11.5,50,41,29,102.5,125,160.5
E1WDW9,60.5,63.5,61,1.5,1,0,2.5,4,0,2,3,1.5,7,10,4,16.5,18.5,19
E1WDX0,116.5,148.5,170.5,1.5,3,0.5,5,10.5,2.5,7,15,7,15.5,32,19.5,45.5,60.5,79.5
E1WDX1,186.5,234,277.5,2.5,5.5,3,23,19.5,8,15.5,27,15.5,29.5,35,37,67.5,80,92
E1WDX2,126.5,171.5,207.5,4,5.5,0.5,17.5,19,5.5,3.5,21.5,16,33.5,41,48,86.5,101.5,121
E1WDX3,7,5,3.5,0.5,1,0.5,2,0.5,1,0,1.5,1,30.5,40.5,61,345,469,482.5
E1WDX4,7,8.5,3.5,0,2,0.5,2.5,2.5,2,0,4.5,4.5,27,45,63.5,375,428,495.5
E1WDX5,6,4.5,2.5,0,0,0.5,2,0,1,2,1,1,12,19,24,174,189.5,264.5
E1WDX6,2235,2767,2542,54.5,66,18.5,73,133.5,35,85.5,141.5,88.5,127.5,150,152,362,342,424
E1WDX7,41.5,39.5,40,2.5,6,0.5,7.5,9.5,0.5,5,6,5.5,6.5,10,6.5,33.5,35,47.5
E1WDX9,24.5,24,30.5,1,1.5,1,5,4.5,4,2,12,4.5,27,39.5,22.5,143,160,152.5
E1WDY0,120.5,153.5,143,12,13.5,2.5,18,35.5,14.5,18.5,52.5,34,61.5,72,56.5,181.5,182,196
E1WDY1,118.5,126,168,7.5,15.5,2.5,18.5,27,5,19.5,36.5,28.5,43.5,67.5,45,153,166,205
E1WDY2,149,184.5,240.5,16,26,11,29.5,55,28.5,40.5,45.5,44.5,64.5,79.5,91,289.5,355.5,396
E1WDY3,262,354.5,354,33.5,35,8.5,66.5,133.5,38,120.5,258,106.5,296,389,245.5,653.5,736,949.5
E1WDY4,61,80.5,82.5,3.5,8.5,3,10.5,17.5,5,7,13.5,13.5,29.5,39.5,32.5,170.5,196.5,236.5
E1WDY5,50.5,77,62.5,8,13,5,19,30,10,11,19,24,44.5,54.5,44.5,165,203.5,241.5
E1WDY6,54.5,69.5,69,9.5,12.5,3,12.5,28,10.5,19,41,29.5,42,52.5,42,134,141,154.5
E1WDY7,39,37,64,3.5,10.5,3,12.5,20.5,15,12.5,39.5,36,42.5,64,37.5,84.5,89,101
E1WDY8,45.5,48,56,6.5,5,1,7,25.5,11.5,21,28,18,32,34,20.5,58.5,58.5,72.5
E1WDY9,7.5,12.5,7.5,2.5,1,0.5,1,2.5,0.5,1.5,5.5,2.5,6.5,10.5,9.5,6,7.5,16.5
E1WDZ0,15.5,14.5,14,4,2.5,5.5,2.5,1.5,3,1.5,7,6.5,10,12.5,7,20.5,15.5,21
E1WDZ1,26.5,24.5,20.5,3,6,3,8,9,7.5,7,20.5,14,22,26.5,20,46,52.5,61.5
E1WDZ2,22.5,24.5,20.5,2.5,3.5,1,4.5,9,3,3,10.5,12.5,16.5,14.5,14.5,30,36,57.5
E1WDZ3,17,17.5,17.5,3,1.5,0,4,11.5,1.5,3.5,9,7.5,10.5,14.5,10.5,39.5,36.5,39
E1WDZ4,32,39,34.5,4,4,2.5,6,10,6.5,5.5,9.5,11,13,12.5,18,43.5,47,54.5
E1WDZ5,16,19,18.5,1,1.5,1.5,1.5,4.5,0,5,4,8,13,10,11,26.5,17,27
E1WDZ6,20.5,30.5,20.5,4.5,1.5,2,9.5,9,5.5,3.5,10,7.5,18.5,24.5,21,66,80,85.5
E1WDZ7,39,50,46,3,6,2,2.5,10,6,9.5,13,8.5,25,34.5,15,76.5,94,102
E1WDZ8,40.5,41,61,2.5,3.5,0.5,7.5,13,3.5,2.5,20.5,8,22.5,19.5,19,48.5,56,83
E1WDZ9,38.5,69.5,52,4,4,0.5,13.5,10.5,3,4,9,7.5,19.5,24.5,24.5,41,53,70
E1WE00,136,158,152,8.5,16,10.5,26.5,38.5,15.5,27,66,26,75,91.5,95.5,243.5,260,323
E1WE01,298,388,367,21,32,16,36.5,55.5,25.5,54.5,86.5,56,108,142,135.5,545.5,632,644
E1WE02,0.5,1,2.5,0,0,0,0,0.5,0.5,0,0,1,0,2,1,8,9,10
E1WE03,1.5,0.5,0.5,0,0.5,0,1.5,0,0,0,1.5,0,0.5,3,4,19.5,30,31
E1WE04,2.5,0.5,0.5,0,0,0,0,0.5,0.5,0,2.5,0.5,0,0.5,2.5,16.5,12,22
E1WE05,15,29,25.5,0,0.5,3.5,3,6.5,5.5,2,5,3.5,5.5,5.5,6,15.5,22,31
E1WE06,1.5,2,0,0,0,0,0.5,0.5,0,1.5,2,0,4,2.5,2,13,14.5,21
E1WE08,41,58.5,38,1,4,1,2.5,12.5,2,2.5,8,4,10,13.5,14.5,65.5,58,71
E1WE09,58.5,74.5,61,4,2,3,14.5,17.5,10.5,10,41.5,15.5,29,36.5,27.5,129,143,159.5
E1WE10,29,50,66,2,2.5,2,6.5,8.5,4,11,21,8.5,27.5,29.5,29,94.5,112.5,111
E1WE11,19.5,20.5,31,2,1,1,2,8,1.5,4.5,11,5.5,14.5,12,17.5,65,69,75.5
E1WE12,11,13.5,21.5,1.5,1,0,3.5,0,2.5,2.5,2,2.5,8,10,10,24.5,20.5,27.5
E1WE13,64.5,70,79.5,1.5,7.5,1,6.5,14.5,9,9,23,14.5,42,53,50.5,226.5,241.5,316.5
E1WE14,29.5,32,49.5,3,6,0,8,9.5,26.5,7.5,11,5.5,25.5,36,34,226.5,231,279.5
E1WE15,0,2,0,0,0,1.5,1,0,0,0.5,1,0,1,6.5,2.5,16,18.5,19.5
E1WE16,4.5,3,2,0.5,1,0,0,0,0,0.5,2,1.5,0.5,2.5,3,16,16,17
E1WE17,12.5,12,15.5,1.5,2,0,2.5,1,2,2.5,5.5,3.5,8.5,9,11,70,68.5,73
E1WE18,4,3,3.5,0,1,0,1.5,4,0,1.5,5.5,5,2.5,6,3.5,31.5,38,40
E1WE19,53.5,64,66.5,4.5,7.5,4,5.5,10,6,4.5,7.5,9,13.5,26.5,31.5,126.5,155,130.5
E1WE20,56.5,62.5,72,3.5,6.5,4,4.5,7,5.5,11,13,17,34,49,54,228,246.5,318
E1WE21,7,10,15,0.5,1,1.5,0,3.5,0,2,1,2,4,6.5,9,42.5,44,67
E1WE22,6,3.5,3.5,0,2,0,0,3.5,2,0,1.5,0.5,6,5,4,13.5,19,36
E1WE23,28.5,34.5,29,4.5,4,0,3.5,8,5,5,11.5,7.5,17.5,28,25,122.5,132.5,183.5
E1WE24,32,44,31.5,1.5,2.5,3,5,11,4,3.5,9.5,7,20,26.5,24.5,98.5,111,139.5
E1WE25,8.5,6,6,0.5,2.5,0.5,2.5,2.5,2,3,5.5,1,9,9.5,14.5,49.5,73.5,90
E1WE26,3.5,8,7.5,0,3.5,4,2,2,0.5,0.5,3.5,3.5,27.5,41,49.5,344.5,365,449
E1WE27,27,22.5,14,4.5,6,2,7,9.5,5.5,2,10,24,15.5,16,19.5,101,105.5,125
E1WE28,6.5,6.5,11,3,1,2,3.5,5.5,2,8,12,8,19.5,17,20.5,60.5,76.5,67
E1WE29,5,10.5,9,1.5,3,2,5.5,9.5,4,10,19,21,29.5,24,24.5,43,53.5,54
E1WE30,13,13.5,13.5,3,3.5,1.5,6.5,7,5,9.5,13.5,35,19,15,29.5,46.5,47,63.5
E1WE31,39.5,49,53.5,1.5,1,3,10,15.5,6.5,13.5,14,14,33,20,39,153.5,164.5,222.5
E1WE32,40.5,61,60.5,3.5,8.5,3.5,10.5,25.5,3.5,19,27.5,15.5,37.5,44.5,35.5,145,159,201
E1WE33,39.5,38,50,4.5,7.5,7.5,15,23.5,7.5,13.5,36,26,38.5,43,33.5,76,89.5,119.5
E1WE34,53,66,74.5,15,14,7.5,26,54,16.5,35.5,77,48.5,83.5,105,79,165.5,194.5,213
E1WE35,99,126.5,78,26.5,33,9,41.5,63.5,14.5,22,71.5,31.5,58.5,101,85,268,280.5,301
E1WE36,83.5,101,81,16,21.5,4,30,45,8,19.5,29,28,45,62,66.5,172.5,195.5,276.5
E1WE37,82,127,80.5,17,17.5,8,27.5,57,10,11,24.5,56.5,37.5,47,41.5,125,148.5,227.5
E1WE38,17.5,29.5,12,4,0,3,2.5,9,2.5,8,8.5,15,12,12,12,58.5,78,98.5
E1WE39,23,24,14.5,2,3,0,3,7.5,2.5,3.5,9.5,5,19.5,18,16,70.5,98,88.5
E1WE40,76,112.5,114.5,10.5,6.5,2.5,28.5,32,14.5,21,44,31.5,63.5,61,66,362,366,428.5
E1WE41,68.5,79.5,68,10,14.5,9,16.5,42,14,19,43,37.5,52,49,45,140.5,151.5,178.5
E1WE42,21.5,21,35.5,2,1.5,2,11,11.5,2.5,8.5,12.5,15,25.5,20.5,28,116.5,155.5,181.5
E1WE43,12.5,14,19.5,3.5,8,5.5,11.5,10.5,12,25.5,30.5,18.5,51,52,40.5,77.5,86.5,81
E1WE44,28.5,24,34,18,27,10.5,26,50.5,22,45,93.5,38,130.5,156.5,105,162,156.5,132.5
E1WE45,75,88.5,85,8,8.5,6,7.5,24,8.5,8.5,27,8.5,29.5,40,30,109.5,148,165.5
E1WE46,13,25,32,3.5,1.5,0.5,2.5,4.5,3,4,11,7.5,10,18,15,55,61,81.5
E1WE47,44.5,53.5,52.5,5,5.5,3,7,11.5,4.5,7,9.5,11.5,23,29,30.5,84,98,114.5
E1WE48,16.5,14,14.5,2,2,0.5,3.5,6.5,3,4,9.5,2,12.5,15,12.5,38,48,51
E1WE49,4.5,3,7.5,1.5,0.5,0,1,1,1,1.5,3,3,3.5,4,3,12,22,33.5
E1WE50,7.5,10.5,11,1.5,1,0,1.5,2,0.5,2,2,1.5,10.5,6,4.5,23.5,24,41.5
E1WE51,20,35,32,4.5,4.5,1.5,6.5,6.5,2,2.5,7,11.5,12.5,12.5,18.5,27.5,29.5,47.5
E1WE52,124.5,139,120,6.5,6.5,2,23,32.5,5.5,14.5,28,17.5,46.5,68.5,68,290,362,412.5
E1WE53,53.5,56,94.5,4,3,2,10.5,18.5,7,11,13.5,11,19,29,23.5,86.5,97,117.5
E1WE54,34,42.5,19.5,4,2,1,8,6.5,0.5,3,10,7.5,13.5,14,14,32,30,39.5
E1WE55,71.5,67,109,3,10.5,10.5,16,19,14.5,21,36,18.5,35,63.5,53,170.5,178.5,178
E1WE56,44,57,41.5,8.5,4,5,7.5,11.5,1.5,2.5,9,13.5,34,28.5,43.5,159.5,181,252
E1WE57,24.5,38.5,22.5,6,10.5,2,6,14,4.5,2.5,14.5,14.5,13.5,25,17.5,58,53.5,63
E1WE58,14.5,32.5,34.5,6.5,2.5,1,8.5,10.5,3.5,16,16,7.5,25.5,21.5,20.5,116,109,125.5
E1WE59,9.5,19.5,19.5,0.5,1,0,3.5,9,3.5,4,10,8,12.5,16.5,28,132.5,139,177.5
E1WE60,13,15.5,12,2,3.5,0,4.5,5,0.5,4,11.5,4.5,21.5,18,21,125.5,126.5,158
E1WE61,151.5,186.5,162,19.5,31,9.5,52,93,27.5,41,93.5,125.5,295,393,474.5,2664.5,3156.5,3749
E1WE62,236,321.5,366,22.5,23,8.5,32,57,17.5,43.5,86.5,41.5,230.5,283,270.5,1728.5,1967,2131.5
E1WE63,1.5,9,5.5,1,4.5,0.5,1,1.5,3,0.5,4.5,2,4,7,6.5,41.5,40,54.5
E1WE64,4,3,3,0,0.5,0,0,0.5,0,0.5,2,1,3,12.5,12,27.5,15,29
E1WE65,4,4.5,2,0,0,0.5,0,0,1,4,5,0.5,11,22,2.5,41,66,46
E1WE66,2,6.5,26,0,1,0,1,0,1,2,7.5,4.5,18.5,11,13.5,71,78,86.5
E1WE67,2,2.5,1,0.5,1,0,0,2,0.5,0.5,0,1,2.5,3,6.5,21,24.5,36.5
E1WE68,5.5,1.5,3,0.5,0,0,2,1,0.5,0.5,1,0,2,3.5,3.5,30,35.5,54
E1WE69,0,1,0,0,0,0,0,0,0,0,0.5,0,1.5,0.5,2,11.5,18,14
E1WE70,5,5,3,0,1,0,3,1,0.5,1,0,2,3,2.5,4.5,19.5,25,29
E1WE71,5,7,3,0,9,0,2.5,2.5,0,0.5,2,0.5,4.5,4,9.5,29.5,33,37.5
E1WE72,3.5,8,6.5,2,1.5,0,2.5,3.5,1.5,4.5,2.5,3,6.5,11,14,59.5,52,76
E1WE73,3,6.5,2.5,5,1.5,4,2.5,3,2.5,6.5,10,4,12,21,11,37,57,52.5
E1WE74,2,0.5,0.5,0,0.5,0,0,0,0,3.5,2,0,2.5,3,2.5,28,15,24.5
E1WE75,584,554,292,14.5,42,8.5,40,67.5,30,13,113.5,148,292,464.5,239.5,1539.5,1447,2093.5
E1WE76,2.5,1.5,1,0,0.5,0,0.5,0.5,0.5,0,1,0.5,1,1,1,10.5,8,16.5
E1WE77,2,3,1,0.5,1,1,0,4.5,1.5,0,0.5,0,1,1.5,1,12,17,22.5
E1WE78,9,14.5,14.5,1.5,2,1.5,2.5,5.5,1,5,7,3,14.5,14.5,15,96,97,132
E1WE79,31,36,23,12.5,20,14,20,34,12.5,13,40.5,28,31,39.5,32,52.5,49,73.5
E1WE80,30.5,42.5,28.5,6.5,12.5,5,20,32,10,13,43,19.5,36.5,59.5,33.5,67.5,74.5,73.5
E1WE81,26,36,29,4,10,3,14,21,7,6.5,27.5,20,25,34.5,27,52,55.5,70
E1WE82,15,21,41,4,10.5,2.5,14,22.5,14,20,49,20,45,44.5,47,97.5,133,164.5
E1WE83,13.5,25.5,13,6.5,11.5,3,18.5,16.5,7,12.5,29.5,31,96,123.5,156,1005,1101.5,1319.5
E1WE84,4,9,5.5,2.5,4,2,5,13.5,0.5,3.5,7.5,12.5,62.5,76.5,101,669,811,947.5
E1WE85,1,10.5,5.5,0,1.5,0,0.5,2.5,1.5,2.5,2.5,2.5,6.5,7.5,16,77.5,86.5,121
E1WE86,6.5,4.5,4.5,0,0.5,0,0.5,4.5,0.5,1,1.5,1.5,22.5,23.5,34,287.5,308.5,276.5
E1WE87,2.5,1.5,3.5,0,0.5,0,5,5.5,0,0,5.5,3,12.5,8.5,26.5,133,152,168.5
E1WE88,46,71,66,7.5,4.5,1.5,9,23,9,17,31,21.5,45.5,47,43,164,202,275
E1WE89,56,78.5,79,7,11,5,14.5,23.5,5,16,25,23.5,23,38,33,79.5,68,106
E1WE90,102,138.5,171.5,8,14.5,3.5,14.5,17.5,7.5,32,61,22.5,63,73,49,115,100,126
E1WE91,237.25,294.75,268,21,28.25,3.75,60.25,73,18.5,89,189,39.25,276.75,434.5,94,1165.25,1763.75,342
E1WE92,27.5,29.5,19.5,2,1,1,4.5,7,1.5,1.5,7.5,3.5,10.5,16.5,17.5,73,80,79
E1WE93,15,23.5,12.5,0.5,0.5,0,2,3.5,1.5,1.5,4,2.5,11.5,9,12.5,70.5,88,105.5
E1WE94,5.5,4.5,3,0,0,9,1,1.5,0,0,0,0.5,9.5,1.5,7.5,44.5,41,58
E1WE95,9.5,6,12,0.5,0.5,0,0,0.5,1,0.5,0.5,0.5,5,5.5,6,36,46,55.5
E1WE96,44,43.5,35.5,0,4,0,2,6.5,2.5,0.5,2.5,6,12.5,15,19,101.5,112,142.5
E1WE97,36,42,18,3,4.5,2,3.5,14.5,4.5,3,8,5.5,24,15,14.5,102,116.5,121.5
E1WE98,5,6.5,6.5,0.5,1,0,2,4,0.5,0.5,7,2,8,8.5,10.5,64,76,67.5
E1WE99,1.5,2.5,5.5,0,0,0,0.5,1,0.5,1.5,2,0,6.5,6,5.5,40.5,50.5,67.5
E1WEA0,6.5,3.5,4.5,1,0.5,0.5,1,2,0.5,0.5,9,1.5,9,4,7,23,29.5,22.5
E1WEA1,3,1,2,0,1,0,3.5,0.5,0,0,0.5,0.5,3.5,1,1.5,25.5,29,34
E1WEA2,4,5.5,10,0,1,1.5,1,0.5,0.5,0,2,0,9.5,7.5,4.5,31.5,45.5,36.5
E1WEA3,1,4.5,3.5,2,1,0,2.5,2,2,4.5,4,2,7.5,8,4,21,25,20
